"Part";"Value";"Device";"Package";"Description";"BOM";"PROD_ID";"SF_SKU";"VALUE";
"SJ1";"";"SOLDERJUMPER_CLOSED";"SOLDERJUMPER_CLOSEDWIRE";"Solder Jumper - Closed";"";"";"";"";
"SW2";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";
"TO_ELE_DIS";"S6B-PH-SM4_TB";"S6B-PH-SM4_TB";"S6B-PH-SM4_TB";"";"";"";"";"";
"TO_STM32";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"";"";"";"";"";
"TO_SUPER_CAP";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"";"";"";"";"";
"U1";" TCA9548APWR";"TCA9548A";"TSSOP24";"TCA9548A I2C Multiplexer";"";"";"";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";
"X1";"microsd";"MICROSD";"MICROSD";"MicroSD/Transflash Card Holder with SPI pinout";"";"";"";"";
"X2";"ESP32_WROOM32_SKINNY";"ESP32_WROOM32_SKINNY";"WROOM32_SKINNY";"";"";"";"";"";
"X4";"20329";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"USB Connectors";"";"";"";"";
"Y1";"32khz";"CRYSTAL8.0X3.8";"CRYSTAL_8X3.8";"Crystals";"";"";"";"";
