"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_NEWARK";"PACKAGE";"PARTNUMBER";"PRICE";"PROD_ID";"VALUE";
"U2";"DRV8871";"DRV8871";"HSOP8";"DRV8871 - 3.6A PWM Motor Driver";"";"";"";"";"";"";"";"";"";"";"";
"U3";"BQ2057WSN";"BQ2057WSN";"SOIC127P600X175-8N";"Charge management IC";"Good";" Low Dropout Linear 2-cell Li-Ion Charge Controller with AutoCompTM, 8.4V 8-SOIC -20 to 70 ";"";"BQ2057WSN";"";"unknown";"SOIC-8 Texas Instruments";"";"1.54 USD";"";"";
"U4";"MAX1704X";"MAX1704X";"TDFN-8";"MAX17043/MAX17044: Battery Fuel Guage (43 is 1cell, 44 is 2cell)";"";"";"";"";"";"";"";"";"";"";"";
"U5";"LSM9DS1";"LSM9DS1";"LGA24-8X4";"LSM9DS1 3D accelerometer, gyroscope & magnetometer";"";"";"";"";"";"";"";"";"";"IC-12536";"";
"U6";"OPTO";"OPTOISOLATOR-2SOIC8";"SO08-2";"Description: Dual gate opto isolator. Vishay part : ILD213T";"";"";"";"";"";"";"";"";"";"";"";
"U7";"DRV8871";"DRV8871";"HSOP8";"DRV8871 - 3.6A PWM Motor Driver";"";"";"";"";"";"";"";"";"";"";"";
"U8";"OPTO";"OPTOISOLATOR-2SOIC8";"SO08-2";"Description: Dual gate opto isolator. Vishay part : ILD213T";"";"";"";"";"";"";"";"";"";"";"";
"UART";"";"M04NO_SILK_ALL_ROUND";"1X04_NO_SILK_ALL_ROUND";"Header 4";"";"";"";"";"";"";"";"";"";"";"";
"ULTRA_1";"";"M041X04_NO_SILK";"1X04_NO_SILK";"Header 4";"";"";"";"";"";"";"";"";"";"";"";
"ULTRA_2";"";"M041X04_NO_SILK";"1X04_NO_SILK";"Header 4";"";"";"";"";"";"";"";"";"";"";"";
"VL53L0X";"";"M041X04_NO_SILK";"1X04_NO_SILK";"Header 4";"";"";"";"";"";"";"";"";"";"";"";
