"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"2PIN";"2PIN";"2PIN";"U$2";"";"";
"1";"PLPVQ940A";"PLPVQ940A";"PLPVQ940A";"U$1";"";"";
